Epoch,Type,R@1,R@5,R@10
1,Text->Image,0.005,0.019444445,0.035370368510484695
1,Text->LongText,0.052222222089767456,0.162222221,0.24296295642852783
1,Image->Text,0.005370371,0.021111110225319862,0.039074074
1,Image->LongText,0.005925926,0.023518518,0.049444444477558136
2,Text->Image,0.012592592276632786,0.054259259,0.091296293
2,Text->LongText,0.12870369851589203,0.31962963938713074,0.4340740740299225
2,Image->Text,0.013148149,0.061481483,0.1066666692495346
2,Image->LongText,0.024074073880910873,0.079814814,0.12648148834705353
3,Text->Image,0.026851851493120193,0.09703704,0.15444444119930267
3,Text->LongText,0.19277778267860413,0.4409259259700775,0.563703716
3,Image->Text,0.034814816,0.12018518149852753,0.19111111760139465
3,Image->LongText,0.043888889253139496,0.14000000059604645,0.2105555534362793
4,Text->Image,0.043888889253139496,0.1496296226978302,0.23648148775100708
4,Text->LongText,0.24574074149131775,0.5259259343147278,0.6557407379150391
4,Image->Text,0.063518517,0.19277778267860413,0.2844444513320923
4,Image->LongText,0.076851852,0.22018519043922424,0.3203703761100769
5,Text->Image,0.066296294,0.21444444358348846,0.32592591643333435
5,Text->LongText,0.2859259247779846,0.58407408,0.7098147869110107
5,Image->Text,0.09407407,0.2579629719257355,0.3825925886631012
5,Image->LongText,0.10925926268100739,0.2907407283782959,0.4162963032722473
6,Text->Image,0.10148148238658905,0.2983333468437195,0.4225925803184509
6,Text->LongText,0.3274074196815491,0.6412962675094604,0.7698147892951965
6,Image->Text,0.1353703737258911,0.3601851761341095,0.4879629611968994
6,Image->LongText,0.1527777761220932,0.3916666805744171,0.5383333563804626
7,Text->Image,0.12962962687015533,0.36407408118247986,0.5051851868629456
7,Text->LongText,0.33944445848464966,0.6483333110809326,0.7816666960716248
7,Image->Text,0.18166667222976685,0.44388890266418457,0.5833333134651184
7,Image->LongText,0.20092593133449554,0.46851852536201477,0.6220370531082153
8,Text->Image,0.16388888657093048,0.42907407879829407,0.5866666436195374
8,Text->LongText,0.40296295285224915,0.7242592573165894,0.8398148417472839
8,Image->Text,0.23685185611248016,0.5379629731178284,0.6731481552124023
8,Image->LongText,0.24611110985279083,0.550000012,0.6903703808784485
9,Text->Image,0.20629629492759705,0.5179629921913147,0.6688888669013977
9,Text->LongText,0.4109259247779846,0.7355555295944214,0.8540740609169006
9,Image->Text,0.2938888967037201,0.605555534,0.7416666746139526
9,Image->LongText,0.29185184836387634,0.6209259033203125,0.75777775
10,Text->Image,0.2566666603088379,0.5718518495559692,0.7107407450675964
10,Text->LongText,0.4577777683734894,0.7853703498840332,0.8848147988319397
10,Image->Text,0.3401851952075958,0.6548148393630981,0.7918518781661987
10,Image->LongText,0.3529629707336426,0.6868518590927124,0.8033333420753479
11,Text->Image,0.28925925493240356,0.6188889145851135,0.7662962675094604
11,Text->LongText,0.4933333396911621,0.8155555725097656,0.907962978
11,Image->Text,0.3883333206176758,0.7185184955596924,0.8311111330986023
11,Image->LongText,0.39814814925193787,0.7372221946716309,0.845370352
12,Text->Image,0.3222222328186035,0.6485185027122498,0.7862963080406189
12,Text->LongText,0.5096296072006226,0.8274074196815491,0.9185185432434082
12,Image->Text,0.41148146986961365,0.7390740513801575,0.8525925874710083
12,Image->LongText,0.4412963092327118,0.7746296525001526,0.875
13,Text->Image,0.35814815759658813,0.7001851797103882,0.8292592763900757
13,Text->LongText,0.5392592549324036,0.8607407212257385,0.9366666674613953
13,Image->Text,0.45851850509643555,0.7809259295463562,0.8835185170173645
13,Image->LongText,0.47870370745658875,0.7994444370269775,0.8990740776062012
14,Text->Image,0.39666667580604553,0.7250000238418579,0.8475925922393799
14,Text->LongText,0.5677777528762817,0.8792592883110046,0.9459259510040283
14,Image->Text,0.49037036299705505,0.811296284,0.9011111259460449
14,Image->LongText,0.5318518280982971,0.8285185098648071,0.9088888764381409
15,Text->Image,0.43611112236976624,0.7640740871429443,0.8696296215057373
15,Text->LongText,0.5951851606369019,0.8924074172973633,0.9570370316505432
15,Image->Text,0.5185185074806213,0.8285185098648071,0.91481483
15,Image->LongText,0.5446296334266663,0.8512963056564331,0.9257407188415527
16,Text->Image,0.4588888883590698,0.7803703546524048,0.8809259533882141
16,Text->LongText,0.5942592620849609,0.8966666460037231,0.9561111330986023
16,Image->Text,0.5694444179534912,0.8572221994400024,0.9314814805984497
16,Image->LongText,0.5733333230018616,0.8722222447395325,0.9424074292182922
17,Text->Image,0.48407408595085144,0.8057407140731812,0.9018518328666687
17,Text->LongText,0.6083333492279053,0.907962978,0.967037022
17,Image->Text,0.5892592668533325,0.8744444251060486,0.9409258961677551
17,Image->LongText,0.6044444441795349,0.8816666603088379,0.942037046
18,Text->Image,0.5009258985519409,0.8229629397392273,0.9087036848068237
18,Text->LongText,0.6496296525001526,0.9270370602607727,0.9712963104248047
18,Image->Text,0.6266666650772095,0.8949999809265137,0.953333318
18,Image->LongText,0.6299999952316284,0.8990740776062012,0.9522222280502319
19,Text->Image,0.5359259247779846,0.846666694,0.9259259104728699
19,Text->LongText,0.66592592,0.9348148107528687,0.977222204
19,Image->Text,0.6505555510520935,0.9138888716697693,0.9629629850387573
19,Image->LongText,0.6596296429634094,0.9125925898551941,0.9638888835906982
20,Text->Image,0.5805555582046509,0.8688889145851135,0.9298148155212402
20,Text->LongText,0.6637036800384521,0.929444432,0.9750000238418579
20,Image->Text,0.678518534,0.9190740585327148,0.9668518304824829
20,Image->LongText,0.6803703904151917,0.9224073886871338,0.9655555486679077